CustomerID,LastPurchase,Frequency,Monetary,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment,Cluster
12346,2011-01-18 10:01:00,1,77183.6,324,1,1,5,115,Others,3
12347,2011-12-07 15:52:00,7,4310.0,1,5,5,5,555,High-Value,0
12348,2011-09-25 13:13:00,4,1797.24,74,2,4,4,244,Others,0
12349,2011-11-21 09:51:00,1,1757.55,17,4,1,4,414,Others,0
12350,2011-02-02 16:01:00,1,334.40000000000003,309,1,1,2,112,At-Risk,1
12352,2011-11-03 14:37:00,8,2506.04,35,3,5,5,355,Others,0
12353,2011-05-19 17:47:00,1,89.0,203,1,1,1,111,At-Risk,1
12354,2011-04-21 13:11:00,1,1079.4,231,1,1,4,114,Others,1
12355,2011-05-09 13:49:00,1,459.4,213,1,1,2,112,At-Risk,1
12356,2011-11-17 08:40:00,3,2811.43,21,4,3,5,435,Others,0
12357,2011-11-06 16:07:00,1,6207.67,32,3,1,5,315,Others,0
12358,2011-12-08 10:26:00,2,1168.06,0,5,2,4,524,Others,0
12359,2011-10-13 12:47:00,4,6310.03,56,3,4,5,345,Others,0
12360,2011-10-18 15:22:00,3,2662.06,51,3,3,5,335,Others,0
12361,2011-02-25 13:51:00,1,189.9,286,1,1,1,111,At-Risk,1
12362,2011-12-06 15:40:00,10,5226.2300000000005,2,5,5,5,555,High-Value,0
12363,2011-08-22 10:18:00,2,552.0,108,2,2,3,223,Others,0
12364,2011-12-02 10:22:00,4,1313.1,6,5,4,4,544,Loyal,0
12365,2011-02-21 14:04:00,2,641.38,290,1,2,3,123,Others,1
12367,2011-12-05 16:48:00,1,168.9,3,5,1,1,511,Others,0
12370,2011-10-19 14:51:00,4,3541.94,50,3,4,5,345,Others,0
12371,2011-10-26 10:16:00,2,1887.96,43,3,2,4,324,Others,0
12372,2011-09-29 12:12:00,3,1298.04,70,3,3,4,334,Others,0
12373,2011-02-01 13:10:00,1,364.6,310,1,1,2,112,At-Risk,1
12374,2011-11-14 15:37:00,1,742.9300000000001,24,4,1,3,413,Others,0
12375,2011-11-29 10:36:00,2,457.5,9,5,2,2,522,Others,0
12377,2011-01-28 15:45:00,2,1628.12,314,1,2,4,124,Others,1
12378,2011-08-02 10:34:00,1,4008.62,128,2,1,5,215,Others,0
12379,2011-09-19 10:09:00,2,852.24,80,2,2,3,223,Others,0
12380,2011-11-18 11:27:00,4,2724.81,20,4,4,5,445,Others,0
12381,2011-12-05 12:44:00,5,1845.31,3,5,4,4,544,Loyal,0
12383,2011-06-08 08:02:00,5,1850.56,183,1,4,4,144,Others,1
12384,2011-11-11 08:39:00,2,585.27,27,4,2,3,423,Others,0
12386,2011-01-06 12:37:00,2,401.9,336,1,2,2,122,At-Risk,1
12388,2011-11-24 12:30:00,6,2780.6600000000003,14,4,4,5,445,Others,0
12390,2011-09-21 09:33:00,1,549.84,78,2,1,3,213,Others,0
12391,2011-11-18 12:07:00,1,439.66,20,4,1,2,412,Others,0
12393,2011-09-28 15:41:00,4,1582.6,71,2,4,4,244,Others,0
12394,2011-10-07 08:08:00,2,1272.48,62,3,2,4,324,Others,0
12395,2011-11-20 15:21:00,12,3018.63,18,4,5,5,455,Others,0
12397,2011-11-04 09:52:00,2,2409.9,34,3,2,5,325,Others,0
12398,2011-10-25 10:27:00,1,1635.66,44,3,1,4,314,Others,0
12399,2011-08-12 13:15:00,4,1108.65,118,2,4,4,244,Others,0
12401,2011-02-09 13:50:00,1,84.3,302,1,1,1,111,At-Risk,1
12402,2011-01-20 13:49:00,1,225.6,322,1,1,1,111,At-Risk,1
12403,2011-10-21 10:51:00,1,427.7,48,3,1,2,312,Others,0
12405,2011-07-14 08:52:00,1,1710.39,147,2,1,4,214,Others,1
12406,2011-11-17 19:22:00,2,3415.3,21,4,2,5,425,Others,0
12407,2011-10-21 10:11:00,5,1708.12,48,3,4,4,344,Others,0
12408,2011-11-07 12:27:00,5,2888.55,31,4,4,5,445,Others,0
12409,2011-09-22 10:38:00,3,11072.67,77,2,3,5,235,Others,0
12410,2011-02-04 10:39:00,2,693.33,307,1,2,3,123,Others,1
12412,2011-09-26 10:16:00,3,1226.88,73,2,3,4,234,Others,0
12413,2011-10-04 09:00:00,3,758.1,65,3,3,3,333,Others,0
12414,2011-05-06 14:51:00,3,562.4100000000001,216,1,3,3,133,Others,1
12415,2011-11-15 14:22:00,21,124914.53,23,4,5,5,455,Others,2
12417,2011-12-06 14:52:00,9,3649.1,2,5,5,5,555,High-Value,0
12418,2011-08-19 11:08:00,1,668.58,111,2,1,3,213,Others,0
12420,2011-10-07 08:55:00,1,600.39,62,3,1,3,313,Others,0
12421,2011-11-24 09:07:00,4,807.04,14,4,4,3,443,Others,0
12422,2011-09-05 09:48:00,3,803.5600000000001,94,2,3,3,233,Others,0
12423,2011-12-09 10:10:00,8,1859.31,-1,5,5,4,554,Loyal,0
12424,2011-06-30 12:06:00,2,1760.96,161,2,2,4,224,Others,1
12425,2011-09-22 17:31:00,1,777.2,77,2,1,3,213,Others,0
12426,2011-05-29 12:26:00,1,582.73,193,1,1,3,113,Others,1
12427,2011-11-18 08:56:00,3,825.8000000000001,20,4,3,3,433,Others,0
12428,2011-11-14 08:22:00,9,7956.46,24,4,5,5,455,Others,0
12429,2011-11-30 17:22:00,4,3750.4,8,5,4,5,545,Others,0
12430,2011-10-27 15:09:00,1,256.4,42,3,1,2,312,Others,0
12431,2011-11-04 11:55:00,15,6419.95,34,3,5,5,355,Others,3
12432,2011-10-28 11:43:00,5,5059.32,41,3,4,5,345,Others,0
12433,2011-12-09 10:02:00,7,13375.87,-1,5,5,5,555,High-Value,0
12434,2011-09-16 12:38:00,2,806.14,83,2,2,3,223,Others,0
12435,2011-09-21 09:06:00,2,7829.89,78,2,2,5,225,Others,0
12436,2011-09-01 12:09:00,1,509.01,98,2,1,3,213,Others,0
12437,2011-12-08 11:35:00,18,4951.41,0,5,5,5,555,High-Value,3
12438,2011-11-25 13:28:00,2,2906.85,13,4,2,5,425,Others,0
12441,2010-12-08 10:45:00,1,173.55,365,1,1,1,111,At-Risk,1
12442,2011-12-06 14:22:00,1,172.06,2,5,1,1,511,Others,0
12444,2011-11-18 13:23:00,5,5005.46,20,4,4,5,445,Others,0
12445,2011-11-17 18:43:00,1,133.4,21,4,1,1,411,Others,0
12446,2011-10-13 12:50:00,1,1002.31,56,3,1,4,314,Others,0
12447,2011-04-10 13:25:00,1,476.49,242,1,1,2,112,At-Risk,1
12448,2011-10-26 13:46:00,1,449.45,43,3,1,2,312,Others,0
12449,2011-11-17 13:46:00,4,4067.29,21,4,4,5,445,Others,0
12450,2011-07-06 14:41:00,2,197.88,155,2,2,1,221,Others,1
12451,2011-11-29 08:40:00,5,9035.52,9,5,4,5,545,Others,0
12452,2011-11-23 10:28:00,2,430.5700000000001,15,4,2,2,422,Others,0
12453,2011-07-28 14:08:00,1,707.09,133,2,1,3,213,Others,0
12454,2011-10-14 17:13:00,1,3528.34,55,3,1,5,315,Others,0
12455,2011-09-27 15:31:00,6,2466.86,72,2,4,5,245,Others,0
12456,2011-10-26 14:41:00,3,3181.04,43,3,3,5,335,Others,0
12457,2011-10-04 13:13:00,7,2363.23,65,3,5,5,355,Others,0
12458,2011-09-29 15:25:00,2,947.4,70,3,2,4,324,Others,0
12461,2011-09-06 16:57:00,2,826.88,93,2,2,3,223,Others,0
12462,2011-11-21 09:11:00,2,1189.59,17,4,2,4,424,Others,0
