CustomerID,LastPurchase,Frequency,Monetary,Recency,R_Score,F_Score,M_Score,RFM_Score,Segment
12346,2011-01-18 10:01:00,1,77183.6,324,1,1,5,115,Others
12347,2011-12-07 15:52:00,7,4310.0,1,5,5,5,555,High-Value
12348,2011-09-25 13:13:00,4,1797.24,74,2,4,4,244,Others
12349,2011-11-21 09:51:00,1,1757.55,17,4,1,4,414,Others
12350,2011-02-02 16:01:00,1,334.40000000000003,309,1,1,2,112,At-Risk
12352,2011-11-03 14:37:00,8,2506.04,35,3,5,5,355,Others
12353,2011-05-19 17:47:00,1,89.0,203,1,1,1,111,At-Risk
12354,2011-04-21 13:11:00,1,1079.4,231,1,1,4,114,Others
12355,2011-05-09 13:49:00,1,459.40000000000003,213,1,1,2,112,At-Risk
12356,2011-11-17 08:40:00,3,2811.43,21,4,3,5,435,Others
12357,2011-11-06 16:07:00,1,6207.67,32,3,1,5,315,Others
12358,2011-12-08 10:26:00,2,1168.06,0,5,2,4,524,Others
12359,2011-10-13 12:47:00,4,6310.03,56,3,4,5,345,Others
12360,2011-10-18 15:22:00,3,2662.06,51,3,3,5,335,Others
12361,2011-02-25 13:51:00,1,189.9,286,1,1,1,111,At-Risk
12362,2011-12-06 15:40:00,10,5226.2300000000005,2,5,5,5,555,High-Value
12363,2011-08-22 10:18:00,2,552.0,108,2,2,3,223,Others
12364,2011-12-02 10:22:00,4,1313.1,6,5,4,4,544,Loyal
12365,2011-02-21 14:04:00,2,641.38,290,1,2,3,123,Others
12367,2011-12-05 16:48:00,1,168.9,3,5,1,1,511,Others
12370,2011-10-19 14:51:00,4,3541.94,50,3,4,5,345,Others
12371,2011-10-26 10:16:00,2,1887.96,43,3,2,4,324,Others
12372,2011-09-29 12:12:00,3,1298.04,70,3,3,4,334,Others
12373,2011-02-01 13:10:00,1,364.6,310,1,1,2,112,At-Risk
12374,2011-11-14 15:37:00,1,742.9300000000001,24,4,1,3,413,Others
12375,2011-11-29 10:36:00,2,457.5,9,5,2,2,522,Others
12377,2011-01-28 15:45:00,2,1628.1200000000001,314,1,2,4,124,Others
12378,2011-08-02 10:34:00,1,4008.62,128,2,1,5,215,Others
12379,2011-09-19 10:09:00,2,852.24,80,2,2,3,223,Others
12380,2011-11-18 11:27:00,4,2724.81,20,4,4,5,445,Others
12381,2011-12-05 12:44:00,5,1845.31,3,5,4,4,544,Loyal
12383,2011-06-08 08:02:00,5,1850.56,183,1,4,4,144,Others
12384,2011-11-11 08:39:00,2,585.27,27,4,2,3,423,Others
12386,2011-01-06 12:37:00,2,401.9,336,1,2,2,122,At-Risk
12388,2011-11-24 12:30:00,6,2780.6600000000003,14,4,4,5,445,Others
12390,2011-09-21 09:33:00,1,549.84,78,2,1,3,213,Others
12391,2011-11-18 12:07:00,1,439.66,20,4,1,2,412,Others
12393,2011-09-28 15:41:00,4,1582.6000000000001,71,2,4,4,244,Others
12394,2011-10-07 08:08:00,2,1272.48,62,3,2,4,324,Others
12395,2011-11-20 15:21:00,12,3018.63,18,4,5,5,455,Others
12397,2011-11-04 09:52:00,2,2409.9,34,3,2,5,325,Others
12398,2011-10-25 10:27:00,1,1635.6599999999999,44,3,1,4,314,Others
12399,2011-08-12 13:15:00,4,1108.65,118,2,4,4,244,Others
12401,2011-02-09 13:50:00,1,84.3,302,1,1,1,111,At-Risk
12402,2011-01-20 13:49:00,1,225.60000000000002,322,1,1,1,111,At-Risk
12403,2011-10-21 10:51:00,1,427.7,48,3,1,2,312,Others
